no,parkingPlaceName,maxParking,avilableParking,dateAndTime,temperature
17,수서역북주차장,553,472,2020-09-21 02,16
18,신대방역,60,27,2020-09-21 02,16
19,신방화역,199,78,2020-09-21 02,16
20,신천유수지주차장,164,189,2020-09-21 02,16
21,영등포구청역,137,65,2020-09-21 02,16
22,용산주차빌딩,561,386,2020-09-21 02,16
23,잠실역주차장,346,112,2020-09-21 02,16
24,적선노외,28,20,2020-09-21 02,16
25,종묘,1317,971,2020-09-21 02,16
26,천왕역,328,273,2020-09-21 02,16
27,천호역,1432,830,2020-09-21 02,16
28,학여울역,180,133,2020-09-21 02,16
29,한강진역,176,139,2020-09-21 02,16
30,화랑대역주차장,319,278,2020-09-21 02,16
31,훈련원공원,873,674,2020-09-21 02,16
1,DDP동측(양쪽),20,20,2020-09-21 03,16
2,웃우물공영,79,17,2020-09-21 03,16
3,가양라이품,38,31,2020-09-21 03,16
4,개화산역주차장,322,268,2020-09-21 03,16
5,개화역,483,349,2020-09-21 03,16
6,구로디지털단지역,92,61,2020-09-21 03,16
7,구파발역,399,362,2020-09-21 03,16
8,장안2동,80,24,2020-09-21 03,16
9,동대문공영주차장,1092,587,2020-09-21 03,16
10,마포유수지주차장,505,313,2020-09-21 03,16
11,복정역공영주차장,363,270,2020-09-21 03,16
12,사당노외,184,99,2020-09-21 03,16
13,서린노외주차장,38,34,2020-09-21 03,16
14,세종로,1260,1136,2020-09-21 03,16
15,수락산역,157,122,2020-09-21 03,16
16,수서역남,18,13,2020-09-21 03,16
17,수서역북주차장,553,472,2020-09-21 03,16
18,신대방역,60,27,2020-09-21 03,16
19,신방화역,199,77,2020-09-21 03,16
20,신천유수지주차장,164,188,2020-09-21 03,16
21,영등포구청역,137,65,2020-09-21 03,16
22,용산주차빌딩,561,385,2020-09-21 03,16
23,잠실역주차장,346,112,2020-09-21 03,16
24,적선노외,28,20,2020-09-21 03,16
25,종묘,1317,970,2020-09-21 03,16
26,천왕역,328,273,2020-09-21 03,16
27,천호역,1432,837,2020-09-21 03,16
28,학여울역,180,133,2020-09-21 03,16
29,한강진역,176,139,2020-09-21 03,16
30,화랑대역주차장,319,279,2020-09-21 03,16
31,훈련원공원,873,674,2020-09-21 03,16
1,DDP동측(양쪽),20,20,2020-09-21 04,15
2,웃우물공영,79,17,2020-09-21 04,15
3,가양라이품,38,31,2020-09-21 04,15
4,개화산역주차장,322,267,2020-09-21 04,15
5,개화역,483,349,2020-09-21 04,15
6,구로디지털단지역,92,61,2020-09-21 04,15
7,구파발역,399,363,2020-09-21 04,15
8,장안2동,80,24,2020-09-21 04,15
9,동대문공영주차장,1092,670,2020-09-21 04,15
10,마포유수지주차장,505,315,2020-09-21 04,15
11,복정역공영주차장,363,270,2020-09-21 04,15
12,사당노외,184,101,2020-09-21 04,15
13,서린노외주차장,38,34,2020-09-21 04,15
14,세종로,1260,1135,2020-09-21 04,15
15,수락산역,157,122,2020-09-21 04,15
16,수서역남,18,13,2020-09-21 04,15
17,수서역북주차장,553,472,2020-09-21 04,15
18,신대방역,60,26,2020-09-21 04,15
19,신방화역,199,79,2020-09-21 04,15
20,신천유수지주차장,164,188,2020-09-21 04,15
21,영등포구청역,137,65,2020-09-21 04,15
22,용산주차빌딩,561,383,2020-09-21 04,15
