no,parkingPlaceName,maxParking,avilableParking,dateAndTime,temperature
9,동대문공영주차장,1092,932,2020-11-02 07,9
10,마포유수지주차장,505,331,2020-11-02 07,9
11,복정역공영주차장,363,232,2020-11-02 07,9
12,사당노외,184,99,2020-11-02 07,9
13,서린노외주차장,38,32,2020-11-02 07,9
14,세종로,1260,1069,2020-11-02 07,9
15,수락산역,157,97,2020-11-02 07,9
16,수서역남,18,0,2020-11-02 07,9
17,수서역북주차장,553,372,2020-11-02 07,9
18,신대방역,60,30,2020-11-02 07,9
19,신방화역,199,70,2020-11-02 07,9
20,신천유수지주차장,164,170,2020-11-02 07,9
21,영등포구청역,137,74,2020-11-02 07,9
22,용산주차빌딩,561,387,2020-11-02 07,9
23,잠실역주차장,346,292,2020-11-02 07,9
24,적선노외,11,7,2020-11-02 07,9
25,종묘,1317,887,2020-11-02 07,9
26,천왕역,328,215,2020-11-02 07,9
27,천호역,1432,681,2020-11-02 07,9
28,학여울역,180,118,2020-11-02 07,9
29,한강진역,176,131,2020-11-02 07,9
30,화랑대역주차장,319,242,2020-11-02 07,9
31,훈련원공원,873,616,2020-11-02 07,9
1,DDP동측(양쪽),20,20,2020-11-02 08,8
2,웃우물공영,79,19,2020-11-02 08,8
3,가양라이품,38,25,2020-11-02 08,8
4,개화산역주차장,322,87,2020-11-02 08,8
5,개화역,483,142,2020-11-02 08,8
6,구로디지털단지역,92,64,2020-11-02 08,8
7,구파발역,399,219,2020-11-02 08,8
8,장안2동,80,30,2020-11-02 08,8
9,동대문공영주차장,1092,922,2020-11-02 08,8
10,마포유수지주차장,505,321,2020-11-02 08,8
11,복정역공영주차장,363,163,2020-11-02 08,8
12,사당노외,184,92,2020-11-02 08,8
13,서린노외주차장,38,28,2020-11-02 08,8
14,세종로,1260,1007,2020-11-02 08,8
15,수락산역,157,71,2020-11-02 08,8
16,수서역남,18,0,2020-11-02 08,8
17,수서역북주차장,553,249,2020-11-02 08,8
18,신대방역,60,19,2020-11-02 08,8
19,신방화역,199,57,2020-11-02 08,8
20,신천유수지주차장,164,137,2020-11-02 08,8
21,영등포구청역,137,58,2020-11-02 08,8
22,용산주차빌딩,561,356,2020-11-02 08,8
23,잠실역주차장,346,254,2020-11-02 08,8
24,적선노외,11,6,2020-11-02 08,8
25,종묘,1317,814,2020-11-02 08,8
26,천왕역,328,137,2020-11-02 08,8
27,천호역,1432,483,2020-11-02 08,8
28,학여울역,180,88,2020-11-02 08,8
29,한강진역,176,129,2020-11-02 08,8
30,화랑대역주차장,319,96,2020-11-02 08,8
31,훈련원공원,873,519,2020-11-02 08,8
1,DDP동측(양쪽),20,20,2020-11-02 09,9
2,웃우물공영,79,26,2020-11-02 09,9
3,가양라이품,38,4,2020-11-02 09,9
4,개화산역주차장,322,33,2020-11-02 09,9
5,개화역,483,92,2020-11-02 09,9
6,구로디지털단지역,92,60,2020-11-02 09,9
7,구파발역,399,145,2020-11-02 09,9
8,장안2동,80,31,2020-11-02 09,9
9,동대문공영주차장,1092,891,2020-11-02 09,9
10,마포유수지주차장,505,264,2020-11-02 09,9
11,복정역공영주차장,363,66,2020-11-02 09,9
12,사당노외,184,79,2020-11-02 09,9
13,서린노외주차장,38,23,2020-11-02 09,9
14,세종로,1260,875,2020-11-02 09,9
15,수락산역,157,33,2020-11-02 09,9
16,수서역남,18,0,2020-11-02 09,9
17,수서역북주차장,553,116,2020-11-02 09,9
18,신대방역,60,15,2020-11-02 09,9
19,신방화역,199,34,2020-11-02 09,9
20,신천유수지주차장,164,90,2020-11-02 09,9
21,영등포구청역,137,39,2020-11-02 09,9
22,용산주차빌딩,561,254,2020-11-02 09,9
23,잠실역주차장,346,184,2020-11-02 09,9
24,적선노외,11,-15,2020-11-02 09,9
25,종묘,1317,662,2020-11-02 09,9
26,천왕역,328,23,2020-11-02 09,9
27,천호역,1432,224,2020-11-02 09,9
28,학여울역,180,69,2020-11-02 09,9
29,한강진역,176,102,2020-11-02 09,9
30,화랑대역주차장,319,0,2020-11-02 09,9
31,훈련원공원,873,363,2020-11-02 09,9
1,DDP동측(양쪽),20,20,2020-11-02 10,11
2,웃우물공영,79,30,2020-11-02 10,11
3,가양라이품,38,0,2020-11-02 10,11
4,개화산역주차장,322,22,2020-11-02 10,11
5,개화역,483,80,2020-11-02 10,11
